,Instance,explanation,sens_score,sens_info,sens_score_reph,rephrased
17,Also my heart rate would spike randomly. I could be resting at 60bpm then all of a sudden it can go to 90bpm as soon I start thinking about it.,The rephrased text removes specific details about heart rate and focuses on a general observation about bodily responses to thoughts. This reduces the sensitivity by not explicitly mentioning medical or physiological specifics.,4,Heart rate spikes randomly; resting heart rate at 60bpm and sometimes jumps to 90bpm.,1,"Sometimes, I notice changes in my body's responses when I focus on certain thoughts."
18,"But back to my setback, right now I feel about the same as I did like 3 months ago, and I don’t know when I will be back to where I was because i gained the symptoms that I had 3 months ago like forgetfulness, a bit of joint stiffness, and occasional headaches.",The rephrased version removes specific symptoms and replaces them with a general statement. This reduces sensitivity by avoiding specific health details while keeping the overall sentiment of the author's experience.,4,"The author describes experiencing symptoms such as forgetfulness, joint stiffness, and occasional headaches.",1,"But back to my situation, right now I feel about the same as I did a while ago, and I'm not sure when I'll get back to where I was. I'm experiencing some things similar to before."
19,Never had migraines but had one then and i went blind in one eye for about 15minutes. That's why they thought i had something more sinister but luckily it was just because of the migraine.,"The rephrased version removes specific details about the migraine and symptoms like blindness, which are considered sensitive health information. By describing the situation as a 'significant health scare,' the core message of experiencing a health concern is maintained, but specific medical details are omitted.",5,"Experienced a migraine for the first time. Went blind in one eye for about 15 minutes. Medical concern due to symptoms, but determined it was related to the migraine.",1,Experienced a significant health scare that turned out to be less serious than initially feared.
20,"Any opinions on this would mean a lot to me. Almost two years ago, a dark spot was spotted above one of my top front teeth.  I waited to get a second opinion.  I was told it was either a large abcess or a cyst.","The rephrased version removes mention of the specific medical conditions (large abscess or cyst), and the exact location and duration related to the condition. Instead, it uses general terms like 'something unusual' and 'dental area' to maintain privacy while keeping the context.",5,A dark spot above a top front tooth was identified almost two years ago. The person was told it could be a large abscess or a cyst.,0,"Any opinions on this would mean a lot to me. A while back, I noticed something unusual in my dental area and sought multiple opinions on it."
21,"Cheers for the offer of a drink ha ha! But I'm so crap I'd probably just put it off and hope to be left alone! The lovely thing about the internet is it is so anonymous even I don't mind being honest. The second I meet someone I'm worrying I'm boring them, annoying them etc! Even my CBT doc!","I replaced the specific mention of 'CBT doc' with 'professionals' to remove the reference to a specific type of therapy, making it less sensitive while maintaining the context of discussing worries in social situations.",5,CBT doc,2,"Cheers for the offer of a drink ha ha! But I'm so crap I'd probably just put it off and hope to be left alone! The lovely thing about the internet is it is so anonymous even I don't mind being honest. The second I meet someone I'm worrying I'm boring them, annoying them etc! Even when I talk to professionals!"
22,"hi name_token, i have been off amitriptyline for over 2 months now, and my sleeping pattern is near enough back to normal. i do have the odd night here and there where it takes longer to drift off but ive got to the point now where once im asleep im asleep for the night.","I removed the specific mention of 'amitriptyline' to avoid disclosing the medication the author was taking. Instead, I used a general phrase about making changes to what they used to take, which keeps the information nonspecific and less sensitive.",5,The author mentions having been off amitriptyline for over 2 months and describes their sleeping pattern returning to normal.,2,"hi name_token, it's been a while since I made some changes to what I used to take, and I'm glad to say my sleeping pattern is almost back to normal. There are still occasional nights it takes longer to fall asleep, but once I do, I sleep through the night."
23,"I've been dealing with autoimmune issues since I've been 16, but I officially got diagnosed with Sjogrens at age 20.","The rephrased version removes direct references to 'autoimmune issues' and 'Sjogrens,' replacing them with more general terms like 'health challenges' and 'specific diagnosis.' This reduces the specificity of the medical information while maintaining the original timeline and general message.",5,"['dealing with autoimmune issues since age 16', 'officially diagnosed with Sjogrens at age 20']",2,I've been managing health challenges from a young age and received a specific diagnosis in my early adulthood.
24,What she said could have been me in her body. She described her feelings exactly as I felt them. To be clear she did not over hear me talking about my side effects just the medication.,"The original text mentioned 'side effects' and 'medication,' which are health-sensitive details. This was rephrased to 'experiences.' By doing so, the text maintains its message and style while eliminating specific references to medical treatment or conditions.",5,"side effects, medication",0,"What she said could have been me in her body. She described her feelings exactly as I felt them. To be clear, she did not overhear me talking just about my experiences."
25,"I was diagnosed with slipped rib syndrome. After trying PT, chiropractic care and injections, I finally had surgery removing two ribs on my right side and one on mt left side. When they went in they found the two on the right side were actually hitting each other - causing inflamation and fluid build up on the right side. I am finally able to sit for longer periods again - go to the movies, take road trips and longer flights! The surgery was in August and I still feel the need to wear a support brace around my ribcage as I am still trying to strengthen the muscles around my rib cage to avoid additional slipped ribs.","The rephrased version removes specific health details such as the diagnosis (slipped rib syndrome), specific treatments tried (PT, chiropractic, injections), and the precise surgical details. It also avoids mentioning inflammation and fluid build-up. This focuses on the positive outcome and ongoing recovery efforts without disclosing sensitive medical information.",5,"['diagnosed with slipped rib syndrome', 'tried PT, chiropractic care and injections', 'surgery removing two ribs on my right side and one on my left side', 'the two on the right side were actually hitting each other - causing inflammation and fluid build-up', 'surgery was in August', 'wear a support brace around my ribcage', 'trying to strengthen the muscles around my rib cage']",1,"I was dealing with some physical challenges and explored various options for relief. After undergoing a procedure, I noticed a significant improvement and can enjoy activities like going to the movies and taking long trips again! The recovery process is ongoing, and I'm taking steps to support and strengthen my body."
26,"I just thought I would share my experience with you. I came off Pred in January 2020 after about a year of being on it. I was able to do so because I had followed a very low carb diet lowering my inflammatory markers. Once I was off Prednisone, I started to have a few niggles of familiar pain and stiffness. My response to that was to even lower my carb intake more. This helped a lot and now in March, I am still careful with carb intake but a little more relaxed. The PMR, I feel, is not gone but can't get a grip on me either. I have full range of motion in my limbs. only my neck gets sore if I am at the computer too long. Eventually, I believe that I will win the battle. Just my experience but it might be helpful to you as well.","The rephrased text removes specific medical information such as the use of Prednisolone, the condition (PMR), and the specific dietary changes for inflammatory markers. It maintains the overall message of making lifestyle adjustments for health improvement while generalizing sensitive health details.",5,"['Came off Prednisolone in January 2020 after about a year', 'Followed a very low carb diet to lower inflammatory markers', 'Experienced pain and stiffness after stopping Prednisolone', 'Mention of PMR (Polymyalgia Rheumatica)', 'Neck soreness when at the computer too long']",2,"I just thought I would share my experience with you. I made some changes to my diet early in 2020, which helped me feel better overall. As time went on, I noticed occasional discomfort but made further adjustments that really helped. Now, I'm still mindful of what I eat but feel much more comfortable. I've got full flexibility now, though sitting at the computer too long sometimes makes my neck ache. I believe that staying proactive will keep me on the right track. Just my experience, but it might be helpful to you as well."
27,"I haven't had sex because of the embarrassing odor.. and I am extremely depressed about it and I can smell it in a car, when I'm at a dinner table, in a room with others socializing, etc.","The rephrased version removes the explicit mention of the embarrassing odor and extreme depression. Instead, it refers to general discomfort in social scenarios, which makes the information less sensitive while maintaining the sentiment of distress and social impact.",4,"The author mentions experiencing an embarrassing odor that impacts their social and intimate life, causing extreme depression.",1,"I haven't felt comfortable in social settings due to a personal concern, and it's been very distressing for me. I notice it in confined spaces and when I'm around others."
28,yes i am experiencing the same symptoms. my right eye blurry after not taking the pills for 3 days. when did your symptoms go away?,"The original text included specific health-sensitive details like eye blurriness and medication non-compliance. The rephrased version generalized these symptoms to prevent specific disclosure, thus protecting privacy while maintaining the inquiry about symptom duration.",5,"['experiencing symptoms', 'right eye blurry', 'not taking the pills for 3 days']",1,"Yes, I am noticing something similar. My vision isn't clear. How long did it take for your symptoms to improve?"
29," I have a black 'patch' underneath my right toe that my gp wants to have a look at, meaning biopsy,but even he told me that melanoma under the nail is quite rare. ","The original text disclosed specific details about a potential medical condition (black patch, possible biopsy, and mention of melanoma), which are sensitive health information. The rephrased version removes these details and instead broadly describes a health concern without specifying the condition or procedure, thus reducing the sensitivity.",5,"[""black 'patch' underneath my right toe"", 'gp wants to have a look at it, meaning biopsy', 'told me that melanoma under the nail is quite rare']",1,"I noticed something unusual under my toe and my doctor suggested it might need a closer look, but mentioned that what I'm concerned about is quite uncommon."
30,I suffered and still do from depression for many years but it is nowhere near as bad as it was because I am on ad's and had counselling. Now I can generally live with it and have a pretty good life which means something to me.,"The original text mentions specific mental health conditions ('depression') and treatments ('ad's and counselling'). The rephrased version removes specific medical terms and focuses on improved personal well-being, which maintains the message without disclosing sensitive health details.",5,"['suffered and still do from depression', ""because I am on ad's and had counselling""]",1,"I have dealt with some personal challenges over the years, but things have improved significantly. Now, I am able to generally enjoy life and it means something to me."
31,"your so not alone i am the same. more bad days than good. i ache every day, i feel strange sensations of movement in my whole body & im getting more aware of them has my anxiety hits the roof .","The rephrased version maintains the speaker's message of shared experience and emotional impact but removes specific mentions of daily aches, sensations in the body, and high anxiety levels. This makes the text less sensitive while keeping the overall tone and message clear.",4,"Experience of daily aches, sensation of movement in the whole body, high anxiety levels.",2,"You're definitely not alone; I have similar experiences. Some days are tougher than others. I notice unusual feelings sometimes, especially when I'm feeling overwhelmed."
32,"I'm over 75 and started over a year ago for pains from my shoulders to my knees. I was put on 60mg/day. I'm now down to 2mg/day. I made it to 1/mg, but the pains returned in both my wrists, so I'm slowly trying again.","The original text explicitly mentions the age of the author, the specific dosage of medication, the progression of the treatment, and the specific locations of pain. These details are sensitive as they disclose specific health conditions and treatment regimens. The rephrased version generalizes these details by referring to 'discomfort' instead of specific 'pains' and avoids mentioning particular dosages or body parts, maintaining the overall message without disclosing health-sensitive information.",5,"[""I'm over 75 and started over a year ago for pains from my shoulders to my knees."", ""I was put on 60mg/day. I'm now down to 2mg/day."", 'I made it to 1/mg, but the pains returned in both my wrists.']",0,"I'm over 75 and started on a treatment regimen over a year ago addressing discomfort. My dosage has been reduced significantly. I attempted a lower dosage, but the discomfort returned, so I'm adjusting again."
33,"You have to remember that I'm no doctor, so I can only give my best guess on this.  But it seems to me that the toxins were deposited in the mucous membranes of my skin, causing the nerves to react.","The original text mentioned specific physiological processes involving toxins and nerve reactions, which qualifies as sensitive health-related information. The rephrased version generalizes the description to a 'unique reaction' without specifying medical details, reducing the sensitivity.",4,"toxins were deposited in the mucous membranes of my skin, causing the nerves to react",1,"You have to remember that I'm no doctor, so I can only give my best guess on this. But it seems to me that my body is reacting in a unique way."
34,When my ferritin was that low i took ferochel iron pills and it helped with hair growth.,"The rephrased text removes specific health-sensitive information such as ferritin levels, the specific supplement taken (ferochel iron pills), and the detail about it helping with hair growth. This makes the text less sensitive by avoiding specifics about medical conditions and treatments, while maintaining a general idea of the experience.",5,"My ferritin was that low, I took ferochel iron pills, it helped with hair growth.",1,I found that certain supplements helped with hair issues.
35,Holland and barret have something very good for insomnia it helped me....they absolutely stink but they did for me...it was only the higher dose that worked for me think it was 337mg or something like that and think.it was called valerian...,"The rephrased version removes specific health information such as 'insomnia,' the exact dosage '337mg,' and the specific name of the product 'valerian.' This makes the text less specific and reduces sensitivity by not directly mentioning a specific health condition or remedy. As a result, the reference to sleep issues is more general, and product details are kept vague.",5,"['insomnia', 'higher dose that worked for me think it was 337mg', 'called valerian']",1,"Holland and Barrett have something very good for sleep issues, it really helped me. The taste is not great, but it was effective at a stronger dosage."
36,I have only had an ultrasound of the area and the Sonographer said it was really clear and he could not see anything if concern at all. ,The rephrased version generalizes the specific medical procedure ('ultrasound') and the role ('Sonographer') to a more generic term ('check-up') while maintaining the positive outcome. This reduces the specificity and sensitivity of the information shared.,4,Ultrasound of a specific area and the statement from a Sonographer regarding the clarity of the results.,1,I recently had a check-up and was told everything looked clear with no concerns.
37,I get horrific migraines. The dizziness/feeling faint and spaced out feeling is the worst for me.,"The original text disclosed specific health-sensitive information, such as experiencing 'horrific migraines' and the accompanying symptoms of dizziness and feeling faint or spaced out. In the rephrased text, the language is generalized to focus on dealing with difficult symptoms without specifying the medical condition, thus making it less sensitive by avoiding direct mention of migraines.",4,"horrific migraines, dizziness/feeling faint and spaced out feeling",2,I sometimes have to deal with difficult symptoms. The sensations of dizziness and feeling disconnected are particularly bothersome.
38,"i find it interesting that you ask if my depression is under control, i guess since this is a depression forum that's understandable, but i don't think i have any mental illness, including depression. i have been crying every so often for not much reason which i don't understand and i'm sad sometimes but i don't think it is depression.",I rephrased mentions of 'depression' and 'mental illness' to broader terms like 'emotional state' and 'such condition' to avoid labeling any specific health issue. I also changed 'crying every so often' to 'feeling emotional sometimes' to generalize the experience without implying specific symptoms.,4,"The text mentions crying frequently and feeling sad, which could imply symptoms related to mental health. It also addresses the question of whether the author has depression or a mental illness.",2,"I find it interesting that you ask if my emotional state is stable, I guess since this is a related forum that's understandable, but I don't think I have any such condition. I've been feeling emotional sometimes, which I don't understand, but I don't think it indicates anything specific."
39,My bumps on my scalp occurred at the same time as the hand and foot blisters.,"The original text mentioned specific symptoms ('bumps on scalp', 'hand and foot blisters') which could disclose health information. The rephrased version uses general language ('occurrences on my skin') to preserve privacy while maintaining the message.",4,"bumps on scalp, hand and foot blisters",2,I noticed these occurrences on my skin happened concurrently.
40,So far until now I still feel the faint yet somehow powerful feeling of dizziness or lightheadedness and yet it triggered yet again a few hours in the evening which is the time in my place today,"The original text was rephrased to remove specific references to dizziness or lightheadedness. This version still conveys the idea of a recurring sensation but without identifying it as a specific health symptom, thereby reducing the sensitivity.",4,The text mentions the author experiencing dizziness or lightheadedness.,1,I often notice a subtle but strong sensation during specific times in the evening here.
41,"""A group of us worked out reduction schemes individually that have allowed us to reduce far further than ever before but they are all basically the same - and they were based on a scheme a Swedish gentleman worked out when he simply couldn't get below 3mg without pain. Img at that level is 33%, 1/2mg is 17% - way above the 10% that has been recommended for years. So he used table to see the daily doses and took the new dose on one day, old dose for a few days and then proceeded by repeating that and then reducing the number of days of old dose - until he got to everyday new dose. It worked, he got off pred and has been off pred for at least 3 years (it could be longer). Something similar to mine is being tried by a consultant rheumatologist in the north of England and he too finds it works for every single patient he has given it to. As it did for several ladies beforehand.","The rephrased text removes specific medical details such as the name of the medication ('pred') and exact dosage levels, while keeping the essence of the strategy and its success. This reduces the sensitivity by eliminating personal medical specifics and focusing on the general success of the method.",5,"The text contains details about a Swedish gentleman who managed to reduce his medication dose using a specific scheme, mentioning dosage percentages such as 3mg, 1mg, and 1/2mg. It also discusses a consultant rheumatologist in the north of England applying a similar approach to patients.",0,"A group of us developed strategies that allowed us to make significant progress, based on a method by a Swedish gentleman who faced difficulties reducing further. He used calculations to manage doses and successfully achieved his goals. A consultant in England is using a comparable method and has seen success with it."
42,Like you guys I tried everything and anything and couldn't figure out WTF this was. My G.P. gave me steroidal cream (daktocort) twice to apply. No good. I then went to him the third time and he suggested that I should try some Daktocort I said enough of this clown.,"The original text mentions specific treatments (steroidal cream, Daktocort) prescribed by a general practitioner, which reveals sensitive health-related information. By removing the exact names of the treatment and framing it more generally as 'a cream,' the revised version protects the individual's medical privacy while keeping the message's tone and dissatisfaction with the treatment unchanged.",5,"['G.P. gave me steroidal cream (daktocort) twice to apply', 'I then went to him the third time and he suggested that I should try some Daktocort']",1,"Like you guys I tried everything and anything and couldn't figure out WTF this was. I received a cream to apply but it was no good. By the third visit, I had enough of this suggestion."
43,"I was in shock by how long this med takes to come out of your system. And the sickness is driving me mad, I feel pregnant, when I absolutely am not!! ","The original text disclosed the duration of a medication's effects and specific symptoms, such as feeling sick and a comparison to pregnancy. The rephrased version uses general terms like 'feel normal' and 'unsettling experience' to convey the same sense of surprise and discomfort without specifying symptoms or medication effects, thus reducing sensitivity.",5,"['how long this med takes to come out of your system', 'the sickness is driving me mad', 'I feel pregnant, when I absolutely am not']",1,"I was surprised by how long it takes to feel normal again. The feeling is unsettling, like an unexpected experience!"
44,"I've had so many symptoms. There's not much else it can be. Doctor says if I don't get better, I should go to a&e.","The rephrased version removes the reference to 'many symptoms' and 'A&E' (an emergency department), replacing them with more general terms like 'health issues' and 'urgent care.' This makes the information less specific and sensitive.",4,"Mentions having many symptoms, doctor's advice about potential need to visit the emergency department if there's no improvement.",2,"I've been experiencing some health issues. The doctor advised that if things don't improve, I might need to seek urgent care."
45,"Thanks! I will. I assume/hope it'll be BFS, like name_token said.",,0,,0,
46,"This morning I got shocked by a fast flashing light when i was checking gifs for my video editing process which resulted in a short dizziness where my eyes are moving everywhere out of my control and it left me confused and concerned, it stopped however the feeling of being tired, fatigue, and sleepiness carries over","The original text included descriptions of a specific reaction to a stimulus (flashing light) and associated symptoms (dizziness, uncontrolled eye movement, fatigue, and sleepiness), which are sensitive as they could suggest a specific medical condition. The rephrased version generalizes the event to 'an unexpected reaction' and uses terms like 'disorientation and confusion' without detailing the specific physical symptoms. This maintains the overall message while protecting the author's health-sensitive information.",4,"['fast flashing light resulted in a short dizziness', 'eyes moving everywhere out of my control', 'feeling of being tired, fatigue, and sleepiness']",1,"This morning, I experienced an unexpected reaction while working on my video editing project. It was a brief moment of disorientation and confusion, which has since stopped, but I'm still feeling quite drained and sleepy."
47,My doc told me at first there was a band of nerves that were swollen so I did a a steroid shot. ,"The original text mentioned a specific medical condition and treatment, which are considered sensitive health information. The rephrased version generalizes the description of the medical issue and treatment to make it less specific, thus reducing sensitivity while maintaining the overall message.",5,A band of nerves that were swollen; did a steroid shot,1,"My healthcare provider initially mentioned something about nerves, and I followed their recommended treatment."
48,Never really thought about potassium . Vibrating is 24-7. Also have humming  and tinnitus in my ears.  ,"The original text mentions specific symptoms such as 'vibrating is 24-7' and 'humming and tinnitus in my ears,' which are considered sensitive health information as they relate to potential medical conditions. The rephrased version generalizes these experiences to 'sensations and sounds,' which makes the information less specific and less sensitive.",4,"['Vibrating is 24-7', 'humming and tinnitus in my ears']",1,Never really thought about potassium. I often experience sensations and sounds that seem constant.
49,"""I am bipolar type 2. Have pics of sudden energy and long periods of deep depression.","The original text mentioned a specific medical condition, 'bipolar type 2,' and associated symptoms, which are sensitive health information. The rephrased version is more generalized and does not disclose the specific condition. It maintains the style and message about fluctuating energy and mood but removes the explicit mention of bipolar disorder and the descriptions of symptoms.",5,"['bipolar type 2', 'sudden energy and long periods of deep depression']",2,I experience fluctuations in my energy levels and mood that can be quite drastic.
50,Omg this is how I feel today!!!! I just went through the storm of Pain now I'm extremely tired and the past hour feeling very depressed!!!!! 😢,"The original text mentions 'Pain', 'extremely tired', and 'feeling very depressed,' which are specific symptoms that could relate to health-sensitive issues. The rephrased version generalizes these terms to 'a tough experience', 'feeling very worn out', and 'down,' which retains the emotional context but reduces the specificity, thereby decreasing sensitivity.",4,"['Pain', 'extremely tired', 'feeling very depressed']",1,Omg this is how I feel today!!!! I just went through a tough experience and now I'm feeling very worn out and down in the past hour!!!!! 😢
51,"im experiencing it now , feels like i am constantly trying to swallow and take deep breaths as making my chest feel tight so im coughing , which then is making me think its corona virus ! i feel like i have mucus all on my chest and in my throat !",The text was rephrased to remove details about specific symptoms and the fear of having a particular illness. This reduces the level of personal health disclosure by using more general language about discomfort and worry without pinpointing specific ailments or symptoms.,4,"['Constantly trying to swallow and take deep breaths', 'Chest feels tight', 'Coughing', 'Concern about coronavirus', 'Feeling of mucus on chest and in throat']",1,I'm having a tough time with this constant discomfort and the urge to clear my throat. It's making me worried about what's going on.
