,s1,s2,similarity,Gianluca,Surya,Costanza,SCALE
219,Is it possible to have ADHD or ADD if we have these symptoms to a milder extent?,Is it possible to have a condition like ADHD or ADD if the symptoms are experienced in a milder form?,0.9398887753486633,5,5,5,
34,Holland and barret have something very good for insomnia it helped me....they absolutely stink but they did for me...it was only the higher dose that worked for me think it was 337mg or something like that and think.it was called valerian...,"Holland and Barrett have something very good for sleep issues, it really helped me. The taste is not great, but it was effective at a stronger dosage.",0.7974156737327576,3,2,3,
249,I started feeling strange and terrifying symptoms starting 6 months ago. They would come and go but right now they are at their worst.,"I began experiencing some unsettling issues around 6 months ago. They were intermittent, but currently they are quite severe.",0.698491096496582,4,5,5,
206,"I would do anything to find a cure for this, I'm getting so frustrated. I have always been confident and very happy with my appearance, since developig this I have gained weight and don't feel as good about myself as I used to. It's just very hard","I really wish I could find a solution to this challenge, it's becoming quite frustrating. I used to feel very confident and happy with my appearance, but now I've noticed some changes that make me feel less positive about myself. It's just been very hard.",0.6996590495109558,4,4,5,
123,Pacing in chronic illness - some useful links that explain it and how to do it,Pacing in long-term conditions - some useful links that explain it and how to do it,0.787663996219635,5,5,5,
31,"I'm over 75 and started over a year ago for pains from my shoulders to my knees. I was put on 60mg/day. I'm now down to 2mg/day. I made it to 1/mg, but the pains returned in both my wrists, so I'm slowly trying again.","I'm over 75 and started on a treatment regimen over a year ago addressing discomfort. My dosage has been reduced significantly. I attempted a lower dosage, but the discomfort returned, so I'm adjusting again.",0.6501736640930176,4,4,4,
78,i am 52 years old and for years I've felt worthless and so unhappy,I've often struggled with feelings of worthlessness and unhappiness.,0.6538699865341187,4,4,4,
131,Be very careful of potassium. Only take under doctor direction!!  You can actually have a heart attack from too much oral potassium.,Be cautious with potassium intake and follow professional medical advice. It's essential to understand the risks of excessive consumption.,0.768368661403656,3,3,4,
180,"If you eat healthy and quit drinking for a while you will see great improvements on your body, skin and mindset in as quickly as 10 days. I speak from my own personal experience.","If you eat healthy and take a break from certain habits, you will see great improvements in your body, skin, and mindset in as quickly as 10 days. I speak from what I've observed.",0.7944812774658203,4,5,5,
10,I also developed bleeding gums and diffuse itch in the mouth whenever I eat too much of the Solanacea family.  But of course the vagina and vulvar have the most mucous membranes and I got the most pain there.,"I've noticed discomfort and some issues after eating certain foods, with more prominent effects in specific sensitive areas.",0.4685859978199005,2,3,2,
161,"No textbook results exist, I am afraid. You were losing a lot previously, then missed a vx, so you gained a lot. Most people are all over the place. You just have to relax and go 'with the flow' so to speak. Don't be so hard on yourself.","No textbook results exist, I am afraid. Things were changing a lot before, then you missed an appointment, so things changed again. Most people are all over the place. You just have to relax and go 'with the flow' so to speak. Don't be so hard on yourself.",0.6049039959907532,4,4,4,
267,"Also just wanted to note that with everything I’ve been taking/doing, I haven’t moved backwards in like two weeks and may have even had some continued improvement.","Also, just wanted to note that I haven't seen any setbacks in a couple of weeks and might have even noticed some progress.",0.4694795310497284,5,4,4,
134,I can also say that an allergy test on you may come out negative for all panels.,It's possible that test results might not show a positive result even if there are symptoms.,0.4898989498615265,4,3,3,
49,"im experiencing it now , feels like i am constantly trying to swallow and take deep breaths as making my chest feel tight so im coughing , which then is making me think its corona virus ! i feel like i have mucus all on my chest and in my throat !",I'm having a tough time with this constant discomfort and the urge to clear my throat. It's making me worried about what's going on.,0.5849123597145081,2,3,3,
72,Ive noticed over the past few months to have some irregular bleeding/discharge in between periods. I am 29 years old. Ive tracked it and noticed it's about a 7-10 days after my period ends.,"I've been monitoring some irregular patterns a few months after my cycles, typically occurring a week or so after they finish. I'm in my late twenties.",0.6076162457466125,3,4,4,
30,"your so not alone i am the same. more bad days than good. i ache every day, i feel strange sensations of movement in my whole body & im getting more aware of them has my anxiety hits the roof .","You're definitely not alone; I have similar experiences. Some days are tougher than others. I notice unusual feelings sometimes, especially when I'm feeling overwhelmed.",0.6343603730201721,4,4,4,
97,"""i think i can understand how you feel cuz most of the time i myself feel like this... everything seems to be exhausting me, no matter what i do... everything has become so boring that death seems so much interesting, though i'm not going to kill myself but just as you said i also wish something were to happen to me.",I can relate to how you're feeling because I've been experiencing similar sentiments lately. It seems like everything wears me out and feels uninteresting.,0.4125046133995056,2,2,2,
64,I have had two TKRs in the last three months. I too was very sick and the crash teams attended me twice as I passed out. Neither time could I raise my leg until at least 2 weeks Post op.,I went through some recent health procedures and faced significant challenges during recovery. It took a while before I could regain some normal functions.,0.4948773682117462,4,2,2,
71,"I'm starting to experience what I would describe as ""brain fog"". I lose my train of thought easily, and am forgetting things I normally would not.",I'm beginning to feel a bit scattered and occasionally find it hard to concentrate or remember details.,0.605023205280304,4,5,4,
103,I recently had covid-19 and right now is ok is suffering from breast pain,I recently went through a health issue and currently experiencing some discomfort.,0.47615453600883484,2,1,1,
266,I’m also concerned about my kidneys as urinating very frequently can also indicate that a drug may be having toxic effects and therefore your kidneys are trying to rid your system of this drug.,I’m a bit worried because I've noticed some changes and think they could be related to something I’m taking.,0.3616698682308197,1,2,2,
39,So far until now I still feel the faint yet somehow powerful feeling of dizziness or lightheadedness and yet it triggered yet again a few hours in the evening which is the time in my place today,I often notice a subtle but strong sensation during specific times in the evening here.,0.547016978263855,1,1,1,
73,I had gastric sleeve surgery 7 months ago and the surgeon sent me back home with photos of an ectopic bulge on my pancreas to take to my GP.,"Several months back, I underwent a medical procedure, and afterwards, I was advised to consult my doctor about a specific issue that was observed.",0.42130208015441895,3,2,2,
62,"Do you live in the UK?  If you do try to get an appointment with Dr , Dermatology Sheffield Hallamshire Hospital she is the UK's expert on Urticaria.  Other specialists know a bit but she specialises in our problem.  I asked for an antidepressant and was given Doxepin because it has a built in antihistamine. ","Do you live in the UK? If you do, try to get an appointment with Dr. [Name] at the Dermatology department of Sheffield Hallamshire Hospital; she's an expert on skin problems. Other specialists know a bit, but she focuses on these issues. I also explored options and found some medications that might help with related challenges.",0.6279820799827576,4,5,4,
2,Due to this I had a hysterectomy. I react terrible to heat and since I have had this condition it has ruined my quality of life including my job. I'm due to have a biopsy on the bowel next week but who knows what the outcome is.,"As a result of my health situation, I've faced challenges that have impacted my life in various ways. I have an upcoming medical procedure and will be waiting to see the results.",0.38589802384376526,2,4,3,
50,"I have completely cured my 20 year case of eczema by taking SJW capsules over a 5 to 6 month period. That was 5 years ago, and the disease has never returned since.","I've managed to significantly improve my skin condition by using a certain supplement over several months. It's been years now, and I've had no issues since.",0.518524706363678,4,4,4,
189,I'm 53 and after weeks my finger tips are peeling my hands look and feel terrible.,"At my age, my hands are looking and feeling rough.",0.6348472833633423,4,1,1,
14,"Unfortunately i also started having covid 19 symptoms about 4 weeks and felt dreadful the first 2 weeks, dry cough, tiredness, body pain, shortness of breath.","Unfortunately, I started experiencing some symptoms a few weeks ago and felt quite unwell for the first couple of weeks.",0.5732721090316772,4,3,2,
63,"I went to the dentist who prescribed amoxicillin but it did nothing. A few days later I lost smell and taste, then neurological symptoms started.","I went to the dentist who prescribed something, but it didn't help. A few days later, I experienced some unusual changes.",0.566231906414032,3,4,3,
18,Never had migraines but had one then and i went blind in one eye for about 15minutes. That's why they thought i had something more sinister but luckily it was just because of the migraine.,Experienced a significant health scare that turned out to be less serious than initially feared.,0.24494965374469757,1,3,2,
40,"""A group of us worked out reduction schemes individually that have allowed us to reduce far further than ever before but they are all basically the same - and they were based on a scheme a Swedish gentleman worked out when he simply couldn't get below 3mg without pain. Img at that level is 33%, 1/2mg is 17% - way above the 10% that has been recommended for years. So he used table to see the daily doses and took the new dose on one day, old dose for a few days and then proceeded by repeating that and then reducing the number of days of old dose - until he got to everyday new dose. It worked, he got off pred and has been off pred for at least 3 years (it could be longer). Something similar to mine is being tried by a consultant rheumatologist in the north of England and he too finds it works for every single patient he has given it to. As it did for several ladies beforehand.","A group of us developed strategies that allowed us to make significant progress, based on a method by a Swedish gentleman who faced difficulties reducing further. He used calculations to manage doses and successfully achieved his goals. A consultant in England is using a comparable method and has seen success with it.",0.2957456111907959,3,3,3,
7,Fortunately we got pregnant really quickly but then I miscarried at 13 weeks and many more miscarriages followed,"Fortunately, things seemed to go well initially, but then there were some challenges along the way.",0.255825400352478,1,2,1,
202,"I guess my first step will be to go to the Doctors and find out for sure , then if as I suspect do have it I will have to make some pretty big disisions .",I guess my first step will be to seek professional advice to understand my situation better. I anticipate having to make some big decisions based on what I find out.,0.2517581880092621,4,3,3,
162,How did setbacks/crashes go for you?,How did challenges or difficult moments go for you?,0.34743788838386536,5,4,5,
77,"Hi name_token, ive been on here a million times with my bad migraines, so I'm not going to bore everyone, just wanted to say they are no fun they are hormone related and they really do scare you and make you feel like you could honestly be having a stroke or seizure, mine do cycle themselves all the time and can be a bit different every time..","Hi name_token, I've posted here many times about recurring issues, so I won't go into detail, just wanted to share that they can really be concerning and vary from time to time.",0.2892953157424927,3,3,2,
235,"It's hard I assume, No pain, I'm also positive the lump is increased in size a bit",I noticed something and am concerned it might be growing.,0.25618937611579895,2,3,2,
101,I have noticed a slight decrease in anxiety but not enough for it not to be debilitating still.,I have noticed some positive changes but still face challenges.,0.26957201957702637,3,2,1,
88,I have a week tummy and nausea has been a big problem for me along with weight loss.,I've been experiencing some discomfort and it's been challenging for my routine.,0.33399698138237,2,2,1,
246,But for almost a whole month the hives are gone and that is better all around for my mind and body.,"For quite some time now, things have improved significantly, which is wonderful.",0.14487938582897186,3,2,2,
26,"I haven't had sex because of the embarrassing odor.. and I am extremely depressed about it and I can smell it in a car, when I'm at a dinner table, in a room with others socializing, etc.","I haven't felt comfortable in social settings due to a personal concern, and it's been very distressing for me. I notice it in confined spaces and when I'm around others.",0.3306368589401245,3,2,2,
91," My ferritin was an 8, so 60 is pretty good.",I'm happy with the improvement in my health indicators.,0.22615614533424377,3,3,2,
168," I used to be unable to sleep due to the pain, and forget having sex.  Happily, cutting out potatoes and tomatoes is a small price to pay for being able to to all that again. ","I used to struggle with certain challenges, but I'm happy to make small lifestyle changes for a better experience overall.",0.32850906252861023,2,4,3,
166,"Now I understand HPV- women are not at risk of cc and can't be helped by Pap tests, that's most of us.","Now I understand more about health screenings and their role in preventive care, which affects most of us.",0.3439510762691498,1,4,3,
94,I have Xanax on board when I am too anxious.,I keep something on hand for when I feel too overwhelmed.,0.34747156500816345,4,3,2,
79,"I have no appetite and force myself to eat. ANXIETY! never had in my life, and the insomnia is terrible. Hopefully over soon I am 51 in July.",I've been having some unusual experiences lately. Hoping for brighter days ahead as I approach a new milestone!,0.30719083547592163,2,4,1,
127,"BUT from you history, you just c/o after a week of ( severe grief and even more crying),i want you to read about (Central serous retinopathy).coz it may be one of differential diagnoses.","BUT considering your recent experiences, I recommend reading up on various conditions that could be relevant.",0.2783825397491455,2,4,3,
268,The redness faded a lot within a day or two of using the cream on my skin but there is still a slight redness that hasn't gone away or changed for the past week.,"I noticed some improvements quite quickly, but there's still a minor issue that hasn't changed over the past week.",0.1955336481332779,3,2,1,
153,"""Sort the alcohol then sort the depression. Or sort the depression and then the alcohol will sort itself. But I imagine it'd be impossible to do them both at the same time. If you recognise it's horrific then you know you want/need to change.","Consider addressing one challenge before the other. It might be tough to tackle both simultaneously. If you know it's something you want to improve, you're already on the right path.",0.16882729530334473,4,3,2,
209,I knew I couldn't be alone with these symptoms but what everyone is describing is exactly what I'm going through!,"I see that many people have shared similar experiences, which is relatable for me!",0.32212117314338684,4,4,3,
245,"hats great news that you are doing better, so happy for you! Since getting some appetite back i've put a bit of weight back on too, so i'm physically stronger.","That's great news that you are doing better, so happy for you! I've noticed some positive changes too, feeling physically stronger.",0.6716779470443726,4,4,3,
46,Never really thought about potassium . Vibrating is 24-7. Also have humming  and tinnitus in my ears.,Never really thought about potassium. I often experience sensations and sounds that seem constant.,0.8715981245040894,5,3,3,
192,"It made me feel downer than I was, I was mis diagnosed numerous times which only ended up being worse.  ","I was feeling worse even after several diagnoses, which was frustrating.",0.6770156621932983,4,4,4,
178,"My stomach hardens, my upper stomach even gets larger and hard. ",I sometimes notice changes in my stomach area.,0.6516926884651184,3,3,3,
215,I have neck pain which often turns into a headache,I often experience discomfort that affects my head and neck.,0.7588951587677002,4,4,4,
129,I can also say that an allergy test on you may come out negative for all panels.,I can also mention that sometimes tests might not show allergies.,0.6825627088546753,5,4,5,
227,Just ask and you'll be surprised what solutions are out there. My dad said that medical science would change and I'd have a baby and he was right!,Just ask and you'll be surprised what solutions are out there. My dad said that things would change and he was right!,0.6806299686431885,4,3,2,
140,"Taking vitamins and herbs too are great, as name_token says, B vitamins are great as it helps the nervous system and mood levels too. Taking a good strong multi-vitamin per day too help me, as did high doses of Vitamin C (1000mg-3000mg per day) and immune boosting herbs like siberian ginseng / echinicea. These things definitely boost your immune system and will help with recovery.","Taking vitamins and herbs is beneficial. As name_token says, B vitamins support the nervous system and mood levels. A good multi-vitamin daily is helpful, as well as supplements like immune-boosting herbs.",0.8012458682060242,4,3,4,
197,I feel better now. I had a fatigue episode earlier this afternoon where I felt sick and just dead tired again,I feel better now after struggling to keep my energy up earlier this afternoon.,0.7312390208244324,3,3,4,
109,I do have these tremors in my chest as well. Although they’re scary I don’t fret about them much anymore as I know it’s not my heart.,"I occasionally experience these odd sensations in my chest. While they were concerning at first, I'm not too worried about them now.",0.6887944936752319,4,4,4,
57,I've had severe neuropathy during the illness and some kind of night seizures accompanying the other more well publicised symptoms that mean my sleep is terrible also.,I've experienced some significant discomfort and sleeping issues associated with a condition that's been in the news.,0.6660801768302917,3,3,2,
224,There is surgery BUT the doctor didn't recommend it until it became painful/uncomfortable. I see it more when he is stressed or doesn't sleep well,A medical procedure was mentioned but was not advised by the doctor until it appeared uncomfortable. I notice it's more noticeable during times of stress or insufficient rest.,0.6926315426826477,3,2,3,
260,"I don't know the word for it, but if I'm not wearing a shirt, my entire back itches.",I notice something strange happening with my back when I'm not wearing a shirt.,0.6912489533424377,3,2,3,
205,This issue happens mostly when I'm standing and when the red blotches pop up they are warm. Every time this happens it seems like they get bigger and recently started appearing on my other leg.,"I've noticed something unusual with my legs, where reddish marks show up when I'm on my feet, and they feel warm. Lately, these marks have been beginning to appear on my other leg as well.",0.7196274995803833,4,3,4,
144,"Then down to one tablet of 10mgs, then down to 5mgs before stopping. Ask at a pharmacy if they sell tablet cutters. I don't know if they do. They cut the tablet accurately whereas cutting with a knife is not accurate.",It's important to gradually reduce the dosage before stopping. Ask at a pharmacy if they sell tablet cutters. I don't know if they do. They cut the tablet accurately whereas cutting with a knife is not accurate.,0.8663350343704224,4,4,4,
226,"He did an STD test and he was clear of all STDs, but HPV has no test for males so he did not know he had it, and we had unprotected sex after marrying. ","He had tests done which showed he was clear of infections that can be tested for, but there was uncertainty about one due to the lack of available tests for males, and we engaged in unprotected activity after marrying.",0.7994313836097717,4,3,3,
174,"I also have had a continual urge to stretch my body, both yesterday and throughout my restless nights sleep.","I've been feeling fidgety and unable to settle down, both yesterday and during the night.",0.4745761752128601,3,4,4,
124,"It is a shame your GP is unwilling to consider alternative therapies. Stick with the amitriptyline, it will help with pain and sleeping.",It's unfortunate that your doctor isn't open to different treatment options. Continuing with the prescribed plan could improve your comfort and rest.,0.6276863813400269,4,3,3,
4,"About 25 years ago, I skipped the vaccine and had a very bad case of it which took close to two weeks to recover","About 25 years ago, I experienced a significant health issue that took some time to recover from.",0.5930451154708862,3,3,2,
75,Some people don't have the will power to stop things that are bad for them and you did. Ocd is real trust me I have it with my house.,"Some people don't have the willpower to stop things that are bad for them, and you did. It's important to recognize how challenges can be very real.",0.5156834125518799,4,4,4,
95,"The idea of depression being there is the worst thought I can have. If it's unfixable then I really don't want to continue. Would you keep a car with a broken engine? You try to fix it, but if all avenues have failed the you send it to scrap. I'm a write-off at the moment!","The idea of feeling down is the worst thought I can have. If there's no way to improve things, then I really feel stuck. Would you keep a car with a broken engine? You try to fix it, but if all attempts have failed, then you move on. I'm feeling like I'm at a standstill at the moment!",0.5866280794143677,4,4,4,
25,"I just thought I would share my experience with you. I came off Pred in January 2020 after about a year of being on it. I was able to do so because I had followed a very low carb diet lowering my inflammatory markers. Once I was off Prednisone, I started to have a few niggles of familiar pain and stiffness. My response to that was to even lower my carb intake more. This helped a lot and now in March, I am still careful with carb intake but a little more relaxed. The PMR, I feel, is not gone but can't get a grip on me either. I have full range of motion in my limbs. only my neck gets sore if I am at the computer too long. Eventually, I believe that I will win the battle. Just my experience but it might be helpful to you as well.","I just thought I would share my experience with you. I made some changes to my diet early in 2020, which helped me feel better overall. As time went on, I noticed occasional discomfort but made further adjustments that really helped. Now, I'm still mindful of what I eat but feel much more comfortable. I've got full flexibility now, though sitting at the computer too long sometimes makes my neck ache. I believe that staying proactive will keep me on the right track. Just my experience, but it might be helpful to you as well.",0.5921102166175842,2,3,3,
12,"Got another visit booked for a month later just to check up. (Note: I get a lot of allergies like hayfever, dust, etc)",Got another visit booked for a month later just to check up.,0.6360406279563904,4,4,4,
22,"I've been dealing with autoimmune issues since I've been 16, but I officially got diagnosed with Sjogrens at age 20.",I've been managing health challenges from a young age and received a specific diagnosis in my early adulthood.,0.5004246234893799,3,4,4,
3,"I am taking biotin pills, I started washing my hair less, and even using oils!",I've made some changes to my hair care routine recently!,0.6001222133636475,3,2,2,
203,"""Thanks for your answer. For some reason i feel obliged to say that i'm sorry you feel like you're on your final run, even though that's exactly how i feel as well.","Thanks for your answer. I appreciate your honesty about how you're feeling, and I can relate to those emotions.",0.5114881992340088,4,3,2,
233,I am 32 years of age and situation has lasted over 4 months. It started when a female at a strip club slid her hands into my pants and rubbed / grabbed my erect penis near the urinary meatus (opening).,I am 32 years old and have been dealing with an ongoing situation for several months. It started during an unusual encounter.,0.5881133079528809,3,3,2,
232,Then last week I felt buzzy — out of no where on Friday I got the heavy feeling. Still had the same fight of flight but I was more calm. Wasn’t that bad.,"Last week, out of nowhere on Friday, I noticed an unusual sensation but managed to stay calm. It wasn't too concerning.",0.5872035026550293,3,3,4,
263,"I'm trying to stick to a healthy diet , I've cut out alcohol tea coffee fatty foods & sweets but it seems that whatever I eat I get a rumble achy feeling","I'm trying to stick to a healthy diet and have cut out various items, but it's challenging to find the right balance with food.",0.39133965969085693,4,3,4,
223,I hope it works for this unbearable odor! I can’t even live a normal social life because of it.,I hope it works for this issue! It's really affecting my daily interactions.,0.4334871768951416,3,2,2,
255,I have gone back to trying to be gluten free again.. it seemed i didnt itch or have as many hives then.,"I am giving gluten-free another try, as it seemed to have some positive effects last time.",0.6265774965286255,3,3,4,
183,Can’t win get money need to spend immediately. Take meds feel too much don’t take feel nothing. I don't know what to do rly,Having a hard time managing finances. Decisions about taking action feel overwhelming. Unsure about what steps to take.,0.3548339605331421,3,3,4,
150,If the doctor wants you to use antihistamines then he/she should prescribe them and not expect you to source them yourself. (the sedative effect of Mirt is due to it being a powerful histamine blocker),"If the doctor wants you to consider certain medications for your condition, then they should prescribe them rather than expect you to handle it on your own.",0.5407092571258545,4,3,3,
141,"For the love of all that is holy, please, please take your meds!","For goodness' sake, please remember to follow any important daily routines!",0.20375584065914154,2,5,5,
148,whats difficult is you can look normal and simple demands and exspectaion of others can be overwelmming cause its something they cant see or feel .,none,0.009247190319001675,0,0,0,
112,"hi, I started with mild symptoms 4 weeks ago, mild cough, low grade temp only around 38, breathlessness. my husband had the same, but after 6 days he is back to normal (he us a 47 year old type 1 diabetic)","Hi, I started experiencing some discomfort a few weeks ago, but my partner and I are feeling better now.",0.2720508575439453,2,2,2,
83,"Thanks name_token.  Glad I’m not alone in this.  Me too up and down with intestinal problems.  Had tests , no infection or anything so we will see what comes next.  We’ll keep up to date.","Thanks name_token. Glad I’m not alone in experiencing this. I've been dealing with some ups and downs and have had some checks done, but no specific issues were found. We'll see what's next and keep up to date.",0.3418025076389313,3,4,3,
262,I can post further info about blood work. I know CBC won't help much but I'm trying to read the tea leaves and see what I can figure out.,I can provide more information if needed. I'm trying to gather all the pieces and see what I can figure out.,0.21726170182228088,2,3,2,
170,"I don't cough, my voice has not changed, I did not loose weight and I am feeling pretty fine. I have contacted my doctor to check on it",I'm feeling pretty good overall and have reached out to my doctor just to make sure everything is okay.,0.3270961046218872,3,2,2,
185,I went to a lot of doctors but they all said nothing was wrong and that I had anxiety.,"I consulted many professionals, but they all assured me that everything was fine.",0.31434938311576843,4,3,4,
